iter	Passed	Remaining
913	18173	61360
914	18210	61397
915	18227	61368
916	18247	61350
917	18269	61334
918	18289	61315
919	18305	61284
920	18328	61274
921	18345	61244
922	18361	61213
923	18384	61202
924	18399	61167
925	18419	61147
926	18443	61139
927	18464	61123
928	18485	61106
929	18509	61100
930	18531	61088
931	18554	61078
932	18575	61061
933	18596	61046
934	18619	61037
935	18641	61021
936	18657	60990
937	18676	60968
938	18696	60947
939	18720	60939
940	18745	60938
941	18773	60943
942	18794	60927
943	18817	60916
944	18834	60889
945	18852	60861
946	18877	60857
947	18901	60850
948	18920	60827
949	18937	60800
950	18961	60791
951	18981	60771
952	19004	60761
953	19027	60753
954	19048	60736
955	19072	60730
956	19095	60719
957	19118	60707
958	19142	60700
959	19166	60692
960	19193	60695
961	19224	60711
962	19262	60747
963	19289	60749
964	19323	60772
965	19355	60791
966	19388	60810
967	19410	60797
968	19435	60792
969	19471	60821
970	19495	60813
971	19520	60810
972	19554	60835
973	19580	60831
974	19600	60810
975	19620	60791
976	19652	60806
977	19674	60792
978	19694	60772
979	19715	60754
980	19737	60741
981	19767	60750
982	19799	60767
983	19822	60756
984	19842	60735
985	19860	60710
986	19885	60705
987	19903	60677
988	19923	60658
989	19946	60644
990	19969	60633
991	19986	60603
992	20005	60581
993	20026	60562
994	20047	60546
995	20066	60522
996	20089	60509
997	20109	60489
998	20134	60483
999	20162	60487
1000	20189	60486
1001	20214	60483
1002	20242	60485
1003	20264	60471
1004	20284	60448
1005	20304	60430
1006	20324	60407
1007	20338	60370
1008	20359	60351
1009	20382	60341
1010	20403	60322
1011	20424	60304
1012	20448	60295
1013	20470	60281
1014	20503	60298
1015	20531	60300
1016	20552	60283
1017	20570	60255
1018	20587	60227
1019	20607	60206
1020	20628	60188
1021	20650	60172
1022	20671	60154
1023	20692	60138
1024	20722	60146
1025	20748	60141
1026	20770	60125
1027	20790	60107
1028	20815	60099
1029	20837	60086
1030	20859	60071
1031	20880	60051
1032	20901	60033
1033	20928	60032
1034	20950	60017
1035	20984	60036
1036	21016	60050
1037	21044	60051
1038	21070	60048
1039	21095	60039
1040	21111	60009
1041	21129	59982
1042	21153	59971
1043	21174	59952
1044	21195	59934
1045	21221	59931
1046	21245	59920
1047	21268	59907
1048	21301	59923
1049	21332	59933
1050	21361	59937
1051	21380	59914
1052	21402	59898
1053	21426	59889
1054	21457	59897
1055	21488	59906
1056	21521	59922
1057	21545	59912
1058	21566	59893
1059	21591	59886
1060	21620	59890
1061	21647	59887
1062	21676	59890
1063	21707	59898
1064	21731	59889
1065	21755	59879
1066	21783	59878
1067	21812	59881
1068	21841	59885
1069	21863	59869
1070	21884	59849
1071	21915	59858
1072	21946	59866
1073	21974	59868
1074	21995	59848
1075	22018	59834
1076	22039	59816
1077	22062	59802
1078	22087	59794
1079	22112	59785
1080	22137	59778
1081	22163	59772
1082	22185	59754
1083	22205	59733
1084	22228	59721
1085	22254	59713
1086	22271	59685
1087	22293	59668
1088	22317	59657
1089	22341	59645
1090	22366	59638
1091	22386	59615
1092	22407	59595
1093	22436	59599
1094	22460	59586
1095	22489	59589
1096	22521	59598
1097	22551	59602
1098	22581	59609
1099	22602	59589
1100	22621	59564
1101	22643	59547
1102	22662	59522
1103	22686	59511
1104	22707	59491
1105	22729	59473
1106	22752	59460
1107	22774	59444
1108	22795	59425
1109	22817	59406
1110	22834	59376
1111	22849	59344
1112	22872	59328
1113	22895	59314
1114	22923	59312
1115	22950	59309
1116	22976	59301
1117	22996	59280
1118	23019	59266
1119	23044	59257
1120	23069	59247
1121	23094	59239
1122	23118	59227
1123	23142	59215
1124	23168	59207
1125	23188	59185
1126	23208	59164
1127	23229	59144
1128	23250	59125
1129	23269	59100
1130	23293	59088
1131	23314	59067
1132	23343	59069
1133	23368	59059
1134	23386	59033
1135	23409	59017
1136	23432	59004
1137	23461	59004
1138	23491	59006
1139	23520	59008
1140	23547	59002
1141	23570	58989
1142	23591	58969
1143	23619	58966
1144	23641	58948
1145	23667	58941
1146	23695	58940
1147	23722	58934
1148	23749	58928
1149	23773	58915
1150	23798	58906
1151	23825	58901
1152	23847	58883
1153	23873	58876
1154	23892	58852
1155	23912	58828
1156	23929	58800
1157	23951	58782
1158	23975	58770
1159	24003	58766
1160	24027	58755
1161	24050	58738
1162	24071	58718
1163	24090	58694
1164	24113	58679
1165	24133	58656
1166	24156	58641
1167	24177	58623
1168	24196	58597
